"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 13:47:27 EEST 2022","Fri Sep 16 13:47:34 EEST 2022","6490","chromium","tests.spec.js","","","","Test case 05 - Should check the First name for registered user",""
"skipped","Fri Sep 16 13:47:27 EEST 2022","Fri Sep 16 13:47:27 EEST 2022","3","chromium","tests.spec.js","","","","Test case 01 - Should check the user registration with valid data",""
"skipped","Fri Sep 16 13:47:27 EEST 2022","Fri Sep 16 13:47:27 EEST 2022","2","chromium","tests.spec.js","","","","Test case 04 - Should check the user login with invalid data",""
"skipped","Fri Sep 16 13:47:28 EEST 2022","Fri Sep 16 13:47:28 EEST 2022","2","chromium","tests.spec.js","","","","Test case 03 - Should check the user login with valid data",""
"skipped","Fri Sep 16 13:47:28 EEST 2022","Fri Sep 16 13:47:28 EEST 2022","2","chromium","tests.spec.js","","","","Test case 02 - Should check the user registration with invalid data",""
