"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 20 13:51:02 UTC 2022","Tue Sep 20 13:51:02 UTC 2022","0","chromium","tests.spec.js","","","","Test case 03 - Should check the user login with valid data",""
"skipped","Tue Sep 20 13:51:02 UTC 2022","Tue Sep 20 13:51:02 UTC 2022","2","chromium","tests.spec.js","","","","Test case 01 - Should check the user registration with valid data",""
"skipped","Tue Sep 20 13:51:02 UTC 2022","Tue Sep 20 13:51:02 UTC 2022","0","chromium","tests.spec.js","","","","Test case 02 - Should check the user registration with invalid data",""
"passed","Tue Sep 20 13:51:11 UTC 2022","Tue Sep 20 13:51:20 UTC 2022","8577","chromium","tests.spec.js","","","","Test case 05 - Should check the First name for registered user",""
"passed","Tue Sep 20 13:51:02 UTC 2022","Tue Sep 20 13:51:11 UTC 2022","8796","chromium","tests.spec.js","","","","Test case 04 - Should check the user login with invalid data",""
